casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2023-00100584,200 Block BROAD ST,2023-12-09T11:12:00.000,12,2023,Robbery,11-39-1,ROBBERY-2ND DEGREE,1,ASantos,2023-00100584-001,41.81573313650006,-71.41932951699997,E911,Robbery,None
2023-00100583,700 Block BROAD ST,2023-12-09T11:05:10.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,BMcDonnell,2023-00100583-001,41.803483915000044,-71.41921050699995,E911,None,Larceny-theft
2023-00100581,100 Block MANTON AVE,2023-12-09T10:57:49.000,12,2023,Property Damage,Not Used,No Violations,0,DRosso,2023-00100581-001,41.81950973700006,-71.44688004249997,E911,None,None
2023-00100579,0 Block OXFORD ST,2023-12-09T10:36:26.000,12,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,WPognon,2023-00100579-001,41.803549035500055,-71.40446757549995,E911,None,None
2023-00100576,CHARLES ST &  PETER ST,2023-12-09T10:21:37.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,JLanier,2023-00100576-001,41.854274742763046,-71.42060089317835,RIDOT,None,Larceny-theft
2023-00100575,0 Block MARSHALL ST,2023-12-09T10:01:33.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,NLaFazia,2023-00100575-001,41.81786204200003,-71.43195305049997,E911,None,None
2023-00100565,100 Block W PARK ST,2023-12-09T09:02:32.000,12,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,JLanier,2023-00100565-001,41.83228110050004,-71.42262930649997,E911,None,Larceny-theft
2023-00100548,0 Block PENN ST,2023-12-09T04:21:18.000,12,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,BAucoin,2023-00100548-001,41.821612071500056,-71.43147992799996,E911,None,Motor Vehicle Theft
2023-00100545,0 Block STANSBURY ST,2023-12-09T04:04:00.000,12,2023,"Larceny, Other",11-35-16,WRONGFULLY OBTAINING TELE SERVICE - > $100 - LARCENY,1,JGuiot,2023-00100545-001,41.85107200300007,-71.43226530099994,E911,None,Larceny-theft
2023-00100547,300 Block ADMIRAL ST,2023-12-09T04:02:00.000,12,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,MCarlone,2023-00100547-001,41.84611690300005,-71.42738501349996,E911,None,None
2023-00100530,800 Block MANTON AVE,2023-12-09T03:09:00.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,BJohnson,2023-00100530-001,41.83320262750004,-71.46505128099997,E911,None,None
2023-00100524,0 Block W EXCHANGE ST,2023-12-09T02:43:13.000,12,2023,Trespass,Not Used,No Violations,0,JMontilla,2023-00100524-001,41.82521354450006,-71.41595848749995,E911,None,None
2023-00100513,SNOW ST &  WESTMINSTER ST,2023-12-09T02:21:54.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,THoulihan,2023-00100513-001,41.82164764331455,-71.41435242548215,RIDOT,None,None
2023-00100512,0 Block GODDARD ST,2023-12-09T02:10:21.000,12,2023,Request for Assistance,Not Used,No Violations,0,MCarlone,2023-00100512-001,41.83481632150006,-71.41972858599996,E911,None,None
2023-00100484,WALDO ST &  CRANSTON ST,2023-12-09T00:59:09.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KBaxter,2023-00100484-001,41.80633925680917,-71.43629456405131,RIDOT,None,None
2023-00100475,0 Block EXCHANGE ST,2023-12-09T00:29:50.000,12,2023,Assistance Rendered,Not Used,No Violations,0,JMontilla,2023-00100475-001,41.825664113000045,-71.41062047449995,E911,None,None
2023-00100473,700 Block CRANSTON ST,2023-12-09T00:14:02.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KBaxter,2023-00100473-001,41.804482163000046,-71.43812548149995,E911,None,None
2023-00502734,0 Block DORRANCE ST,2023-12-08T21:27:32.000,12,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,MTroia,2023-00502734-001,41.82381659250004,-71.41228919699995,E911,None,None
2023-00100413,0 Block CATHEDRAL SQ,2023-12-08T21:09:00.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,NULL,2023-00100413-001,41.81981630250007,-71.41651544199996,E911,None,None
